Datetime,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Line Number,Cause for Delay,Station Name
9/22/2020 6:00:00,Tuesday,YONGE BD STATION,PUSRA,6,11,W,BD,5253,LINE 2,Subway Radio System Fault ,NO MATCH
9/23/2020 21:18:00,Wednesday,YONGE SHEP STATION,MUSC,0,0,W,SHP,6176,LINE 4,Miscellaneous Speed Control,NO MATCH
9/23/2020 23:57:00,Wednesday,YONGE BD STATION,SUUT,10,16,E,BD,5325,LINE 2,Unauthorized at Track Level,NO MATCH
9/24/2020 11:11:00,Thursday,YONGE BD STATION,EUCA,8,11,W,BD,5344,LINE 2,Compressed Air,NO MATCH
9/25/2020 12:46:00,Friday,YONGE BD STATION,MUIR,0,0,E,BD,5301,LINE 2,Injured or ill Customer (On Train) - Medical Aid Refused,NO MATCH
9/26/2020 10:02:00,Saturday,YONGE SHEP STATION,EUSC,0,0,W,SHP,6176,LINE 4,Speed Control Equipment  ,NO MATCH
9/26/2020 14:39:00,Saturday,YONGE BD STATION,MUIRS,0,0,W,BD,0,LINE 2,Injured or ill Customer (In Station) - Medical Aid Refused,NO MATCH
9/26/2020 18:58:00,Saturday,YONGE SHEP STATION,MUPAA,3,8,E,SHP,6186,LINE 4,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
9/27/2020 19:19:00,Sunday,YONGE BD STATION,SUAP,4,8,W,BD,5314,LINE 2,Assault / Patron Involved,NO MATCH
9/28/2020 2:17:00,Monday,YONGE SHEP STATION,TUCC,0,0,W,SHP,6181,LINE 4,Transit Control Related Problems,NO MATCH
9/29/2020 18:56:00,Tuesday,YONGE SHEP STATION,TUMVS,0,0,W,SHP,6146,LINE 4,Operator Violated Signal,NO MATCH
9/30/2020 2:25:00,Wednesday,YONGE SHEP STATION,TUMVS,0,0,W,SHP,6196,LINE 4,Operator Violated Signal,NO MATCH
10/1/2020 20:23:00,Thursday,WARDEN STATION,MUPAA,3,6,N,YU,6136,LINE 1,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
10/1/2020 21:18:00,Thursday,WARDEN STATION,TUSC,0,0,N,YU,6126,LINE 1,Operator Overspeeding,NO MATCH
10/1/2020 23:47:00,Thursday,WARDEN STATION,MUIS,0,0,N,YU,0,LINE 1,Injured or ill Customer (In Station) - Transported,NO MATCH
10/2/2020 11:50:00,Friday,WARDEN STATION,TUSC,0,0,N,YU,5751,LINE 1,Operator Overspeeding,NO MATCH
10/3/2020 12:01:00,Saturday,WARDEN STATION,PUSTP,3,6,S,YU,5676,LINE 1,Traction Power or Related Components Failure,NO MATCH
10/3/2020 23:48:00,Saturday,WARDEN STATION,MUPAA,0,0,S,YU,5866,LINE 1,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
10/4/2020 8:00:00,Sunday,WARDEN STATION,MUO,0,0,N,YU,5951,LINE 1,Miscellaneous Other,NO MATCH
10/4/2020 15:06:00,Sunday,WARDEN STATION,TUSC,3,7,N,YU,5906,LINE 1,Operator Overspeeding,NO MATCH
10/5/2020 11:12:00,Monday,WARDEN STATION,SUDP,6,9,S,YU,5661,LINE 1,Disorderly Patron,NO MATCH
10/6/2020 7:34:00,Tuesday,WARDEN STATION,TUMVS,4,7,S,YU,6126,LINE 1,Operator Violated Signal,NO MATCH
10/6/2020 15:29:00,Tuesday,WARDEN STATION,EUSC,0,0,S,YU,5731,LINE 1,Speed Control Equipment  ,NO MATCH
10/7/2020 21:14:00,Wednesday,WARDEN STATION,PUSTS,0,0,N,YU,6126,LINE 1,Signals - Train Stops,NO MATCH
